review_id,outlet_id,review_date,platform,rating,review_category,sentiment_score,is_complaint,was_resolved,response_time_hours,archetype
REV0000001,OT001,2024-06-30,Direct,3,Quantity,0.14,0,0,,stable
REV0000002,OT001,2023-05-23,Swiggy,5,Delivery Speed,0.94,0,0,,stable
REV0000003,OT001,2024-02-15,Zomato,3,Packaging,-0.17,0,0,,stable
REV0000004,OT001,2023-07-25,Zomato,4,Quantity,0.7,0,0,,stable
REV0000005,OT001,2024-05-18,Google,4,Service,0.27,0,0,,stable
REV0000006,OT001,2023-09-26,Zomato,4,Service,0.32,0,0,,stable
REV0000007,OT001,2023-08-28,Zomato,5,Delivery Speed,0.88,0,0,,stable
REV0000008,OT001,2023-10-12,Google,4,Delivery Speed,0.41,0,0,,stable
REV0000009,OT001,2023-02-13,Zomato,5,Food Quality,0.86,0,0,,stable
REV0000010,OT001,2023-07-07,Google,4,Quantity,0.32,0,0,,stable
REV0000011,OT001,2023-10-21,Zomato,3,Service,0.07,0,0,,stable
REV0000012,OT001,2023-01-22,Google,4,Delivery Speed,0.2,0,0,,stable
REV0000013,OT001,2023-03-05,Swiggy,4,Quantity,0.4,0,0,,stable
REV0000014,OT001,2024-04-09,Swiggy,4,Food Quality,0.38,0,0,,stable
REV0000015,OT001,2023-05-19,Swiggy,3,Service,0.0,0,0,,stable
REV0000016,OT001,2024-02-21,Swiggy,4,Food Quality,0.61,0,0,,stable
REV0000017,OT001,2024-04-13,Swiggy,4,Service,0.18,0,0,,stable
REV0000018,OT001,2023-08-05,Google,5,Quantity,1.0,0,0,,stable
REV0000019,OT001,2024-01-22,Zomato,4,Food Quality,0.5,0,0,,stable
REV0000020,OT001,2024-04-17,Swiggy,4,Value for Money,0.58,0,0,,stable
REV0000021,OT001,2024-03-24,Zomato,5,Food Quality,1.0,0,0,,stable
REV0000022,OT001,2023-05-13,Zomato,3,Delivery Speed,-0.07,0,0,,stable
REV0000023,OT001,2023-10-02,Zomato,4,Service,0.37,0,0,,stable
REV0000024,OT001,2023-12-27,Zomato,3,Delivery Speed,-0.09,0,0,,stable
REV0000025,OT001,2023-06-06,Google,5,Quantity,0.82,0,0,,stable
REV0000026,OT001,2023-06-21,Zomato,4,Service,0.36,0,0,,stable
REV0000027,OT001,2023-09-15,Swiggy,5,Packaging,1.0,0,0,,stable
REV0000028,OT001,2023-01-11,Zomato,4,Service,0.72,0,0,,stable
REV0000029,OT001,2023-04-03,Google,5,Delivery Speed,1.0,0,0,,stable
REV0000030,OT001,2024-06-01,Zomato,4,Quantity,0.31,0,0,,stable
REV0000031,OT001,2023-05-31,Swiggy,4,Service,0.56,0,0,,stable
REV0000032,OT001,2023-10-29,Google,5,Food Quality,0.84,0,0,,stable
REV0000033,OT001,2024-03-06,Direct,4,Quantity,0.57,0,0,,stable
REV0000034,OT001,2024-05-27,Zomato,4,Food Quality,0.73,0,0,,stable
REV0000035,OT001,2023-05-28,Swiggy,4,Value for Money,0.69,0,0,,stable
REV0000036,OT001,2023-03-17,Zomato,4,Food Quality,0.38,0,0,,stable
REV0000037,OT001,2023-12-13,Zomato,5,Quantity,1.0,0,0,,stable
REV0000038,OT001,2024-01-19,Swiggy,3,Food Quality,-0.37,0,0,,stable
REV0000039,OT001,2024-05-19,Zomato,5,Delivery Speed,1.0,0,0,,stable
REV0000040,OT001,2024-03-23,Google,4,Delivery Speed,0.59,0,0,,stable
REV0000041,OT001,2023-06-20,Swiggy,5,Service,0.9,0,0,,stable
REV0000042,OT001,2024-04-24,Direct,4,Packaging,0.51,0,0,,stable
REV0000043,OT001,2023-02-27,Zomato,3,Quantity,0.01,0,0,,stable
REV0000044,OT001,2024-02-26,Direct,5,Service,0.86,0,0,,stable
REV0000045,OT001,2023-07-01,Swiggy,5,Food Quality,0.84,0,0,,stable
REV0000046,OT001,2024-02-02,Google,5,Food Quality,0.91,0,0,,stable
