transaction_id,outlet_id,transaction_date,transaction_time,day_of_week,month,is_weekend,is_holiday,order_channel,order_type,item_category,items_ordered,gross_amount,discount_applied,net_amount,food_cost,packaging_cost,aggregator_commission,contribution_margin,payment_method,delivery_time_mins,prep_time_mins,distance_km,customer_id,is_repeat_customer,is_new_customer,customer_rating,had_complaint,upsell_taken,staff_on_shift,kitchen_utilization_pct,waste_flag
TXN0000001,OT001,01-01-2023,22:09:18,Sunday,2023-01,1,0,Zomato,Delivery,Pizza,1,436.32,0,436.32,127.34,22.5,109.08,177.4,Card,36,20,3.19,CUST024286,1,0,4,0,0,6,0.67,0
TXN0000002,OT001,01-01-2023,20:16:47,Sunday,2023-01,1,0,Swiggy,Delivery,Biryani,3,1002.18,0,1002.18,364.9,56.25,230.5,350.53,UPI,40,14,5.13,CUST042319,0,1,4.1,0,0,6,0.67,0
TXN0000003,OT001,01-01-2023,14:54:41,Sunday,2023-01,1,0,Dine-in,Dine-in,Combo,1,515.53,0,515.53,166.01,25,0,324.52,UPI,,13,,CUST040119,1,0,,0,1,6,0.67,1
TXN0000004,OT001,01-01-2023,18:10:53,Sunday,2023-01,1,0,Swiggy,Delivery,Burger,2,442.05,0,442.05,141.67,30,101.67,168.71,UPI,27,8,7.8,CUST016908,0,1,4.2,1,0,6,0.67,0
TXN0000005,OT001,01-01-2023,11:33:48,Sunday,2023-01,1,0,Swiggy,Delivery,Beverage,1,105.99,0,105.99,20.31,10,24.38,51.3,UPI,26,13,6.55,CUST016749,0,1,3.8,0,1,6,0.67,0
TXN0000006,OT001,01-01-2023,07:58:55,Sunday,2023-01,1,0,Zomato,Delivery,Beverage,3,314.98,70.38,244.6,48.21,30,61.15,105.24,UPI,15,15,3.48,CUST003597,1,0,,1,0,6,0.67,0
TXN0000007,OT001,01-01-2023,18:03:09,Sunday,2023-01,1,0,Direct App,Takeaway,Pizza,1,402.97,0,402.97,123.86,22.5,20.15,236.46,Wallet,,10,,CUST003813,1,0,4.6,0,1,6,0.67,0
TXN0000008,OT001,01-01-2023,22:52:21,Sunday,2023-01,1,0,Zomato,Delivery,Biryani,2,695.61,146.89,548.72,183.52,37.5,137.18,190.52,Cash,17,15,6.82,CUST000847,0,1,,0,1,6,0.67,0
TXN0000009,OT001,01-01-2023,17:25:50,Sunday,2023-01,1,0,Dine-in,Dine-in,Burger,4,937.97,185.01,752.96,241.67,60,0,451.29,UPI,,14,,CUST000010,0,1,4.3,0,0,6,0.67,0
TXN0000010,OT001,01-01-2023,17:09:43,Sunday,2023-01,1,0,Zomato,Delivery,Beverage,1,92.78,6.8,85.98,17.15,10,21.5,37.33,UPI,27,13,5.05,CUST008163,0,1,4,0,0,6,0.67,0
TXN0000011,OT001,01-01-2023,07:39:21,Sunday,2023-01,1,0,Zomato,Delivery,Dessert,3,472.55,0,472.55,136.62,37.5,118.14,180.29,Card,23,11,5.25,CUST039712,0,1,,0,1,6,0.67,0
TXN0000012,OT001,01-01-2023,15:37:32,Sunday,2023-01,1,0,Direct App,Takeaway,Pizza,1,431.97,0,431.97,130.16,22.5,21.6,257.71,Card,,12,,CUST005789,1,0,,0,0,6,0.67,1
TXN0000013,OT001,01-01-2023,16:29:38,Sunday,2023-01,1,0,Swiggy,Delivery,Combo,3,1483.99,0,1483.99,472.24,75,341.32,595.43,Card,33,14,2.03,CUST035997,0,1,4.9,0,1,6,0.67,0
TXN0000014,OT001,01-01-2023,17:28:46,Sunday,2023-01,1,0,Swiggy,Delivery,Beverage,1,101.97,0,101.97,20.83,10,23.45,47.69,UPI,37,15,7.69,CUST015329,1,0,4.3,0,1,6,0.67,1
TXN0000015,OT001,01-01-2023,02:59:42,Sunday,2023-01,1,0,Dine-in,Dine-in,Pizza,2,867.6,0,867.6,251.24,45,0,571.36,UPI,,7,,CUST036245,0,1,4,0,0,6,0.67,0
TXN0000016,OT001,01-01-2023,10:35:53,Sunday,2023-01,1,0,Dine-in,Dine-in,Biryani,1,307.28,0,307.28,106.25,18.75,0,182.28,UPI,,12,,CUST034394,0,1,,0,1,6,0.67,1
