outlet_id,month,total_orders,revenue,gross_revenue,total_discount,total_food_cost,total_packaging_cost,total_agg_commission,total_contribution,avg_order_value,avg_delivery_time,avg_prep_time,avg_rating,total_complaints,total_waste_flags,repeat_customers,new_customers,upsell_orders,is_weekend_orders,is_holiday_orders,food_cost_pct,packaging_cost_pct,commission_cost_pct,discount_pct,contribution_margin_pct,complaint_rate,waste_rate,repeat_customer_pct,upsell_rate,tier,city,archetype,outlet_type,zone,rental_cost,net_margin,net_margin_pct,month_num
OT001,2023-01,483,239127.91,247303.54,8175.63,74999.09,15365.0,43047.26,105716.56,495.09,26.91,13.358178053830228,3.97,45,87,238,245,155,156,12,31.36,6.43,18.0,3.31,44.21,9.32,18.01,49.28,32.09,1,Bangalore,stable,Standalone,South,120000,-14283.44,-5.97,1
OT001,2023-02,490,244434.5,252934.37,8499.87,76480.25,15893.75,44018.15,108042.35,498.85,28.08,13.03061224489796,3.91,56,94,250,240,174,162,0,31.29,6.5,18.01,3.36,44.2,11.43,19.18,51.02,35.51,1,Bangalore,stable,Standalone,South,120000,-11957.65,-4.89,2
OT001,2023-03,514,282560.0,290106.03,7546.03,89321.03,17678.75,49856.79,125703.43000000001,549.73,28.11,13.344357976653697,3.92,58,85,284,230,186,159,34,31.61,6.26,17.64,2.6,44.49,11.28,16.54,55.25,36.19,1,Bangalore,stable,Standalone,South,120000,5703.43,2.02,3
OT001,2023-04,492,254743.06,261816.93,7073.87,80181.8,16228.75,46723.6,111608.91,517.77,26.65,13.217479674796747,3.95,55,104,282,210,158,190,49,31.48,6.37,18.34,2.7,43.81,11.18,21.14,57.32,32.11,1,Bangalore,stable,Standalone,South,120000,-8391.09,-3.29,4
OT001,2023-05,492,255185.73,264560.3,9374.57,80703.97,16135.0,45044.2,113302.56,518.67,27.35,13.266260162601625,3.89,44,92,236,256,150,148,16,31.63,6.32,17.65,3.54,44.4,8.94,18.7,47.97,30.49,1,Bangalore,stable,Standalone,South,120000,-6697.44,-2.62,5
OT001,2023-06,425,216509.98,222218.72,5708.74,68427.52,13777.5,38413.0,95891.96,509.44,27.86,13.409411764705883,3.92,42,80,205,220,156,136,0,31.6,6.36,17.74,2.57,44.29,9.88,18.82,48.24,36.71,1,Bangalore,stable,Standalone,South,120000,-24108.04,-11.13,6
OT001,2023-07,560,301934.52,310213.26,8278.74,95629.46,19130.0,51217.87,135957.19,539.17,28.2,13.069642857142858,3.94,49,87,273,287,174,205,0,31.67,6.34,16.96,2.67,45.03,8.75,15.54,48.75,31.07,1,Bangalore,stable,Standalone,South,120000,15957.19,5.28,7
OT001,2023-08,559,294739.51,305014.18,10274.67,93721.85,18766.25,52513.69,129737.72,527.26,26.86,13.427549194991055,3.96,57,97,277,282,175,163,33,31.8,6.37,17.82,3.37,44.02,10.2,17.35,49.55,31.31,1,Bangalore,stable,Standalone,South,120000,9737.72,3.3,8
OT001,2023-09,509,275309.3,282066.74,6757.44,86893.45,17453.75,48977.44,121984.66,540.88,27.27,13.422396856581532,3.98,53,87,257,252,160,187,0,31.56,6.34,17.79,2.4,44.31,10.41,17.09,50.49,31.43,1,Bangalore,stable,Standalone,South,120000,1984.66,0.72,9
OT001,2023-10,570,280945.18,290387.06,9441.88,88320.13,18077.5,48784.53,125763.02,492.89,27.21,13.014035087719298,3.9,44,102,300,270,184,189,49,31.44,6.43,17.36,3.25,44.76,7.72,17.89,52.63,32.28,1,Bangalore,stable,Standalone,South,120000,5763.02,2.05,10
OT001,2023-11,590,306527.33,316111.13,9583.8,96799.37,19452.5,55935.71,134339.75,519.54,27.77,13.496610169491525,3.89,65,103,286,304,202,186,46,31.58,6.35,18.25,3.03,43.83,11.02,17.46,48.47,34.24,1,Bangalore,stable,Standalone,South,120000,14339.75,4.68,11
OT001,2023-12,612,306970.73,315002.47,8031.74,96368.18000000001,19753.75,52039.23,138809.57,501.59,27.28,13.36437908496732,3.93,67,121,285,327,200,209,22,31.39,6.44,16.95,2.55,45.22,10.95,19.77,46.57,32.68,1,Bangalore,stable,Standalone,South,120000,18809.57,6.13,12
OT001,2024-01,494,254244.99,262827.47,8582.48,80869.37,16163.75,42307.06,114904.81,514.67,27.46,13.186234817813766,3.9,46,99,244,250,172,123,31,31.81,6.36,16.64,3.27,45.19,9.31,20.04,49.39,34.82,1,Bangalore,stable,Standalone,South,120000,-5095.19,-2.0,13
OT001,2024-02,490,247601.05,254207.57,6606.52,78085.56,15738.75,42300.15,111476.59,505.31,28.15,13.32857142857143,3.96,55,87,236,254,164,168,0,31.54,6.36,17.08,2.6,45.02,11.22,17.76,48.16,33.47,1,Bangalore,stable,Standalone,South,120000,-8523.41,-3.44,14
OT001,2024-03,559,276112.48,284899.14,8786.66,86349.39,17793.75,47932.26,124037.08,493.94,27.73,13.461538461538462,3.94,54,111,283,276,178,184,49,31.27,6.44,17.36,3.08,44.92,9.66,19.86,50.63,31.84,1,Bangalore,stable,Standalone,South,120000,4037.08,1.46,15
OT001,2024-04,505,265406.11,272272.08,6865.97,84050.81,16681.25,46387.76,118286.29,525.56,26.6,13.36039603960396,3.88,56,89,251,254,174,158,29,31.67,6.29,17.48,2.52,44.57,11.09,17.62,49.7,34.46,1,Bangalore,stable,Standalone,South,120000,-1713.71,-0.65,16
OT001,2024-05,484,265131.8,270900.27999999997,5768.4800000000005,83606.05,16612.5,46377.0,118536.25,547.79,27.22,13.25206611570248,3.88,40,86,251,233,172,158,23,31.53,6.27,17.49,2.13,44.71,8.26,17.77,51.86,35.54,1,Bangalore,stable,Standalone,South,120000,-1463.75,-0.55,17
OT001,2024-06,476,252742.21,260864.23,8122.0199999999995,79504.57,15987.5,41483.29,115766.85,530.97,27.48,13.405462184873949,3.99,45,88,227,249,170,169,26,31.46,6.33,16.41,3.11,45.8,9.45,18.49,47.69,35.71,1,Bangalore,stable,Standalone,South,120000,-4233.15,-1.67,18
OT002,2023-01,287,110016.57,115964.36,5947.79,34646.78,7165.0,22099.91,46104.88,383.33,28.4,14.226480836236934,3.69,31,55,141,146,79,90,11,31.49,6.51,20.09,5.13,41.91,10.8,19.16,49.13,27.53,2,Kolkata,new,Highway,Central,75000,-28895.12,-26.26,1
OT002,2023-02,260,100452.12,105141.53,4689.41,31874.52,6569.0,19544.19,42464.41,386.35,29.33,14.161538461538461,3.74,34,57,122,138,85,72,0,31.73,6.54,19.46,4.46,42.27,13.08,21.92,46.92,32.69,2,Kolkata,new,Highway,Central,75000,-32535.59,-32.39,2
OT002,2023-03,352,137601.25,144274.22,6672.97,43500.28,8937.0,27093.91,58070.06,390.91,27.81,14.3125,3.66,49,77,150,202,87,124,26,31.61,6.49,19.69,4.63,42.2,13.92,21.88,42.61,24.72,2,Kolkata,new,Highway,Central,75000,-16929.94,-12.3,3
OT002,2023-04,302,129892.24,136050.22,6157.98,41102.29,8431.0,25529.64,54829.31,430.11,29.58,14.016556291390728,3.73,42,71,127,175,98,106,30,31.64,6.49,19.65,4.53,42.21,13.91,23.51,42.05,32.45,2,Kolkata,new,Highway,Central,75000,-20170.69,-15.53,4
OT002,2023-05,256,93560.53,98509.03,4948.5,29219.6,6286.0,18404.88,39650.05,365.47,27.92,13.578125,3.68,33,57,130,126,68,80,11,31.23,6.72,19.67,5.02,42.38,12.89,22.27,50.78,26.56,2,Kolkata,new,Highway,Central,75000,-35349.95,-37.78,5
